Line #,Whse Status,Mac Item #,Mac SKU #,Cust Item #,Description,Qty Ord,Qty Shipped,Qty B/O,List Price,Discount %,Net Price,UOM,Ext Price,UPC/EAN,Account #,PO #,Order #,BO #,Invoice #,Box #
64,Shipped 05/15/2023,PX264168000,076930,,PC-5M MEDIUM WHITE,6,6,0,4.45,60,1.78,PE,10.68,E-4902778916254,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
65,Shipped 05/15/2023,PX264176000,076914,,PC-5M MEDIUM YELLOW,3,3,0,4.45,60,1.78,PE,5.34,E-4902778916162,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
66,Shipped 05/15/2023,PX148791000,076948,,PC-8K BROAD WHITE,4,4,0,7.1,60,2.84,PE,11.36,E-4902778916599,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
67,Shipped 05/15/2023,PB3750LB-100,028920,,SELECT LUNAR BLENDER 1,2,2,0,13.15,67,4.34,BR,8.68,U-757063375742,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
68,Shipped 05/15/2023,PB3750BB-150,028875,,SELECT WHTE BRISTLE BRIGHT1.5,4,4,0,13.15,67,4.34,BR,17.36,U-757063375599,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
69,Shipped 05/15/2023,SA25085R,242586,,PRISMAPNCL PORTRT  TIN 24 CLR,2,2,0,52.69,46,28.45,SE,56.9,U-070735250858,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
71,Shipped 05/15/2023,SA2023751,083673,,PRISMA PNCL UNDR THE SEA SE/12,3,3,0,25.14,55,11.31,SE,33.93,U-070735007711,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
76,Shipped 05/15/2023,RS255500001,286044,,SMPLY SIM EVRYTHNG SET 5PC,3,3,0,17.55,70,5.27,SE,15.81,U-038372019122,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
77,Shipped 05/15/2023,RS255400005,039094,,SMPLY SIM JUST FILBERTS SET 4P,3,3,0,14.65,70,4.4,SE,13.2,U-038372019207,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
78,Shipped 05/15/2023,SW8052,034347,,ALL-STABILO PENCIL WHITE,12,12,0,1.9,60,0.76,PE,9.12,E-4006381328159,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
79,Shipped 05/15/2023,SW70-126,080612,,BOSS ORIG PASTEL CREAMY PEACH,4,4,0,2.9,63,1.07,PE,4.28,E-4006381492386,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
80,Shipped 05/15/2023,SW70-125,099029,,BOSS ORIG PASTEL PALE ORANGE,6,6,0,2.9,63,1.07,PE,6.42,E-4006381566025,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
81,Shipped 05/15/2023,SW68-41,729795,,STABILO PEN 68 DARK BLUE,5,5,0,2,63,0.74,PE,3.7,E-4006381333276,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
82,Shipped 05/15/2023,SW68-36,728691,,STABILO PEN 68 GREEN,10,10,0,2,63,0.74,PE,7.4,E-4006381333238,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
83,Shipped 05/15/2023,SW68-33,727954,,STABILO PEN 68 LIGHT GREEN,5,5,0,2,63,0.74,PE,3.7,E-4006381333221,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
84,Shipped 05/15/2023,SW8820,003902,,STABILO POINT 88 WALLET SET 20,2,2,0,26.5,63,9.81,SE,19.62,E-4006381292405,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
86,Shipped 05/15/2023,SW275-4-08-1,099025,,SWING COOL PASTEL WALLT 4PC II,4,4,0,9.75,63,3.61,SE,14.44,E-4006381559461,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
87,Shipped 05/15/2023,SM333-8,065186,,PRNTMKG 300 LW 8X10 40SH (12),3,3,0,12.95,60,5.18,PD,15.54,U-012017333088,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
88,Shipped 05/15/2023,SM457-5,514640,,SKTCH RCY400 5X8SB SD100(12),6,6,0,11.5,60,4.6,PD,27.6,U-012017457050,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
89,Shipped 05/15/2023,SM473-1,035734,,W/C PPR 140#CP 22X30,30,30,0,4.75,57.5,2.02,SH,60.6,U-012017473012,3003330000,ALB1381,N3240731,00,14596857,00000824352016777455
90,Shipped 05/15/2023,TB56503,081817,,ABT DUAL BRSH 026 YEL GOLD,3,3,0,3.45,50,1.73,PE,5.19,U-085014565035,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
91,Shipped 05/15/2023,TB56513,082686,,ABT DUAL BRSH 126 LT OLIVE,3,3,0,3.45,50,1.73,PE,5.19,U-085014565134,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
92,Shipped 05/15/2023,TB56561,053414,,ABT DUAL BRSH 533 PEACOCK,3,3,0,3.45,50,1.73,PE,5.19,U-085014565615,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
93,Shipped 05/15/2023,TB56603,031631,,ABT DUAL BRUSH 885 WARM RED,3,3,0,3.45,50,1.73,PE,5.19,U-085014566032,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
94,Shipped 05/15/2023,TB56604,028061,,ABT DUAL BRSH 899 REDWOOD,3,3,0,3.45,50,1.73,PE,5.19,U-085014566049,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
95,Shipped 05/15/2023,TB56643,089362,,ABT DUAL BRSH N89 WM GY 1,3,3,0,3.45,50,1.73,PE,5.19,U-085014566438,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
96,Shipped 05/15/2023,TB56167,033574,,ABT DUAL BRSH SET 10/PRIMARY,2,2,0,29.49,50,14.75,SE,29.5,U-085014561679,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
97,Shipped 05/15/2023,TB56189,087042,,ABT DUAL BRSH SET 10/TROPICAL,2,2,0,29.49,50,14.75,SE,29.5,U-085014561891,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
98,Shipped 05/15/2023,TB62038,080505,,FUDENOSUKE BRSH PEN HD&SFT BLK,3,3,0,7.55,50,3.78,CD,11.34,U-085014620383,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
99,Shipped 05/15/2023,ZE01210UPC,088580,,BRUSH PEN SNGL FINE BLACK,12,12,0,2.85,50,1.43,PE,17.16,U-045888012103,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
101,Shipped 05/15/2023,ZE54012,099646,,M-301 MECH PNCL .5MM BLK 2PK,6,6,0,6.48,50,3.24,CD,19.44,U-045888540125,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
112,Shipped 05/15/2023,RYWAT12,011123,,WATERCLR ARTST 12ML 12 CLR SET,3,3,0,9.99,62,3.8,SE,11.4,U-090672027818,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
113,Shipped 05/15/2023,TN95960112,077522,,W/C PAN SET ANGORA 14 COLOR,6,6,0,15.95,64,5.74,SE,34.44,E-8712079394660,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
114,Shipped 05/15/2023,RLBTH25-01,062363,,WAXED THREAD 25 YDS. BLACK,3,3,0,5.09,50,2.55,CD,7.65,U-870192001891,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
116,Shipped 05/15/2023,CN100510924,026487,,XL RECYSKT 18X24  50SH TB(12),2,2,0,27.5,60,11,PD,22,E-3148955725771,3003330000,ALB1381,N3240731,00,14596857,00000824352016777431
118,Shipped 05/15/2023,MT20833-5,017348,,SCISSOR 1428 MULTI PURPOSE 8IN,8,8,0,4.26,50,2.13,CD,17.04,U-051135208335,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
119,Shipped 05/15/2023,MT00004-1,189634,,TAPE 119 MAGIC 1/2 X 800IN,12,12,0,3.19,40,1.91,RL,22.92,U-021200000041,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
121,Shipped 05/15/2023,CX51-2012,055383,,SIDEWALK CHALK 12CT,4,4,0,3.7,50,1.85,SE,7.4,U-071662612122,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
122,Shipped 05/15/2023,CX51-2024,055384,,SIDEWALK CHALK 24CT,4,4,0,6.6,50,3.3,SE,13.2,U-071662612245,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
124,Shipped 05/15/2023,SN1172069,009343,,SNAZAROO RAINBOW KIT,3,3,0,19.69,52.5,9.35,SE,28.05,U-766416101471,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
127,Shipped 05/15/2023,KR1311,003085,,SPRAY MATTE FINISH 11OZ(6),3,3,0,19.43,60,7.77,CN,23.31,U-724504013112,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
128,Shipped 05/15/2023,KR1306,001406,,SPRAY WORKABLE FIX 11OZ    (6),4,4,0,19.77,60,7.91,CN,31.64,U-724504013068,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
129,Shipped 05/15/2023,GXKBS4,252131,,STENCIL FILM BLUE 9X12 4/PK,6,6,0,5.89,50,2.95,PK,17.7,U-096701229604,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
131,Shipped 05/15/2023,DE2305872,101664,,TINTED CHARCOAL PNT PAN SET/12,1,1,0,40.99,48,21.31,SE,21.31,U-502825262132,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
135,Shipped 05/15/2023,PLS520A,294160,,FIBER TIP SIGN PEN BLACK,12,12,0,1.95,50,0.98,PE,11.76,U-072512100004,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
136,Shipped 05/15/2023,PLBG202-C,031768,,SLICCI BLUE .25MM,6,6,0,3.25,46,1.76,PE,10.56,U-072512234907,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
137,Shipped 05/15/2023,PI46543,081695,,FRIXION LT HGHLTR PASTEL 5/CD,7,7,0,8.37,50,4.19,CD,29.33,U-072838465436,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
138,Shipped 05/15/2023,CW3501,762679,,POCKET COLOR WHEEL 5 1/8IN,3,3,0,4.39,45,2.41,CD,7.23,U-088107235013,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
139,Shipped 05/15/2023,ED4200-6099,093730,,4200 PORC BRUSH SET/6 COOL,2,2,0,16.95,50,8.48,SE,16.96,E-4004764960699,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
142,Shipped 05/15/2023,XA3601Q3,103893,,KNIFE #1 W/SAFETY CAP CARDED,21,0,0,5.95,40,3.57,CD,0,U-079946360103,3003330000,ALB1381,N3240731,00,14596857,
143,Shipped 05/15/2023,YO6K,101987,,KOZO PAPER 10 1/2X13 3/4 10SH,3,3,0,21.99,54.5,10.01,PK,30.03,U-031248981608,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
144,Shipped 05/15/2023,RYRART-110,296589,,LG AREA BRSH SE 3PK BRISTLE,6,6,0,4.49,62,1.71,CD,10.26,U-090672008664,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
145,Shipped 05/15/2023,RLROC04-0260,062369,,LATIGO LACE 1/8INX4YD CHFTN,3,3,0,5.5,50,2.75,CD,8.25,U-870192001341,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
146,Shipped 05/15/2023,AWCT2169,100170,,LETS LEARN TO SEW KIT,2,2,0,20.99,50,10.5,EA,21,U-811069031269,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
147,Shipped 05/15/2023,GPS-415BP,031732,,SHARPENER LITTLE RED CANNISTER,7,7,0,2.66,50,1.33,CD,9.31,U-044974415019,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
148,Shipped 05/15/2023,PLK98-W,083714,,MILKY POP .8MM WHITE PASTEL,12,12,0,2.85,46,1.54,PE,18.48,U-072512269015,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
149,Shipped 05/15/2023,LP140WH23,091188,,STNHNGE AQUA PD 140LB MINI CP,20,20,0,2.67,55,1.2,PD,24,U-645248440920,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
150,Shipped 05/15/2023,LP135WH23,091192,,STNHNGE LIGHT PD MINI 30SH,10,10,0,2.67,55,1.2,PD,12,U-645248434158,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
151,Shipped 05/15/2023,AA17358,072887,,RIBBON TOOL METAL 6PC SET,2,2,0,20.99,65,7.35,SE,14.7,U-082435173580,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
153,Shipped 05/15/2023,FR7119100597,097464,,1264 WC WB 140CP 9X12 30SH,8,8,0,19.35,67.5,6.29,PD,50.32,E-8001348210665,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
154,Shipped 05/15/2023,TNF1250C,097711,,FNTC CLR SQU PEARL AMETHYST,4,4,0,8.95,64,3.22,CD,12.88,E-4251402600176,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
155,Shipped 05/15/2023,GL960015,043275,,FLIP-SKT BK 5X7 POOL 100SH,4,4,0,10.25,57.5,4.36,BK,17.44,U-696844960152,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
156,Shipped 05/15/2023,GL960030,043277,,FLIP-SKT BK 6X9 MIST 100SH,4,4,0,12.8,57.5,5.44,BK,21.76,U-696844960305,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
157,Shipped 05/15/2023,DPDGG09-30,088460,,GALAXY GLITTR 2OZ BIG BANG,3,3,0,3.32,55,1.49,BO,4.47,U-766218112101,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
158,Shipped 05/15/2023,DPDGG04-30,088454,,GALAXY GLITTR 2OZ RED NEBULA,3,3,0,3.32,55,1.49,BO,4.47,U-766218112057,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
162,Shipped 05/15/2023,ELE-309,081348,,ELMERS CLEAR SCHOOL GLUE 9 OZ,4,4,0,8.5,55,3.83,EA,15.32,U-026000003094,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
163,Shipped 05/15/2023,CE3446-02,057973,,WIGGLE EYES BLK ASST SZ 100PK,6,6,0,4.19,50,2.1,BG,12.6,U-021196344624,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
164,Shipped 05/15/2023,RYGOU12,059850,,GOUCHE ARTST 12ML 12 CLR SET,4,4,0,9.99,62,3.8,SE,15.2,U-090672028594,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
166,Shipped 05/15/2023,MR0145000101,084647,,GRAPX AQUA PEN MAKEMANGA SET/6,4,4,0,17.99,55,8.1,SE,32.4,E-4007751629128,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
167,Shipped 05/15/2023,FC9121212,033908,,GRIP WATERCLR ECOPENCILS 12CT,6,6,0,8,46,4.32,SE,25.92,U-092633702710,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
169,Shipped 05/15/2023,PLKN105-A,031790,,HYBRID TECHNICA .5MM BLK,13,13,0,3.2,46,1.73,PE,22.49,U-072512242452,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
170,Shipped 05/15/2023,SA1953513,073675,,INKJOY GEL PINK UPC 0.7,6,6,0,3.42,46,1.85,PE,11.1,U-071641100916,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
172,Shipped 05/15/2023,AA17348,022108,,DBL BALL STYLUS EMBOSS TOOL,3,3,0,3.89,65,1.36,CD,4.08,U-082435173481,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
174,Shipped 05/15/2023,JAJID1301,056828,,DYE FIXATIVE 14GM PK,3,3,0,5.19,50,2.6,PK,7.8,U-743772027287,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
175,Shipped 05/15/2023,PLPTS-15,005142,,DYEING PASTEL SET OF 15,6,6,0,5.25,52.5,2.49,SE,14.94,U-072512009291,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
176,Shipped 05/15/2023,MDEPASTUFF,090544,,ES STUFF FOR PAINTING,3,3,0,10.99,50,5.5,EA,16.5,E-9313306052453,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
177,Shipped 05/15/2023,FC166399,074823,,ECCO PIGMNT FIBRE TIP 0.3 BLK,5,5,0,3.25,52.5,1.54,PE,7.7,E-4005401663997,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
178,Shipped 05/15/2023,TN11509901,083768,,ECOLINE WC BRUSHPEN PASTL SE/5,2,2,0,22.95,59.5,9.29,SE,18.58,E-8712079408275,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
179,Shipped 05/15/2023,MDM027727,090553,,ES EGG CHALK,5,5,0,6.99,52.5,3.32,EA,16.6,E-9313306027727,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
180,Shipped 05/15/2023,UX248310000,089048,,EMOTT 0.4MM FINE 5CT SET#4,6,0,0,14.1,55,6.35,SE,0,E-4902778248317,3003330000,ALB1381,N3240731,00,14596857,
182,Shipped 05/15/2023,DPDPM04-30,080112,,EXTREME SHEEN 2OZ 24K GOLD,6,6,0,3.42,55,1.54,BO,9.24,U-766218096890,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
183,Shipped 05/15/2023,DPDPM30-30,087164,,EXTREME SHEEN 2OZ DEEP SAPPHRE,3,3,0,3.42,55,1.54,BO,4.62,U-766218113382,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
185,Shipped 05/15/2023,DPDPM03-30,080111,,EXTREME SHEEN 2OZ ROSE GOLD,4,4,0,3.42,55,1.54,BO,6.16,U-766218096883,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
187,Shipped 05/15/2023,DPDPM05-30,080109,,EXTREME SHEEN 2OZ VINTG BRASS,4,4,0,3.42,55,1.54,BO,6.16,U-766218096906,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
189,Shipped 05/15/2023,CE3556,058004,,CRAFT WIRE 24YDS SILVR 24GAUGE,4,4,0,6.69,50,3.35,EA,13.4,U-021196035560,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
190,Shipped 05/15/2023,AL15633,012299,,ALEENES OK TO WASH IT 4OZ,4,4,0,4.99,60,2,BO,8,U-017754156334,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
191,Shipped 05/15/2023,AL15599,973467,,ALEENES TACKY GLUE 8OZ SQZ,4,4,0,6.99,60,2.8,BO,11.2,U-017754155993,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
192,Shipped 05/15/2023,AA20132,300365,,TAPE ARTIST WHITE 1/2INX60YD,3,3,0,11.49,55,5.17,RL,15.51,U-082435201320,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
193,Shipped 05/15/2023,RYRD88,222100,,BLENDING STUMPS 3/PK,3,3,0,2.49,62,0.95,PK,2.85,U-090672008534,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
195,Shipped 05/15/2023,YOCC1,172421,,CALLI-SUMI BRSH 1-1/8 INCH,3,3,0,4.9,64,1.76,BR,5.28,U-031248010759,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
197,Shipped 05/15/2023,GP5630ABP,948403,,CHARCOAL PEEL/SKETCH KIT,3,3,0,5.56,50,2.78,SE,8.34,U-044974563031,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
198,Shipped 05/15/2023,GP59P-BP,005242,,PRIMO EURO CHRCL PNCLS 4/CD,4,4,0,8.79,50,4.4,CD,17.6,U-044974590303,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
200,Shipped 05/15/2023,HX36001,007156,,CIRCLE RULER 12IN ASST COLORS,3,3,0,4.69,46,2.53,EA,7.59,U-079252360019,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
201,Shipped 05/15/2023,RHC96621,045737,,CF GRAFIT 90G 80SH SKETCH 6X8,6,6,0,7.5,55,3.38,PD,20.28,E-3329680966213,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
202,Shipped 05/15/2023,DT387000,293814,,CLAY DAS PRONTO WHITE 1.1 LBS,12,12,0,9.5,72,2.66,EA,31.92,E-8000144074112,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
203,Shipped 05/15/2023,DT387500,293938,,CLAY DAS PRONTO WHITE 2.2 LBS,14,14,0,15.75,67.5,5.12,EA,71.68,E-8000144074105,3003330000,ALB1381,N3240731,00,14596857,Multiple Cartons
205,Shipped 05/15/2023,CB1200107-3C,040245,,COLLAGE BOARD 15X20 WHITE,15,15,0,4.91,56.01,2.16,SH,32.4,U-093924180330,3003330000,ALB1381,N3240731,00,14596857,00000824352016777431
206,Shipped 05/15/2023,BEAWD-182404,061455,,ARTISTIC WIRE 18GA AN BRS 4YD,2,2,0,5.25,50,2.63,CD,5.26,U-656156061794,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
207,Shipped 05/15/2023,AA27180,022392,,PROTRACTOR & COMPASS SET,3,3,0,4.69,55,2.11,SE,6.33,U-082435271804,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
208,Shipped 05/15/2023,GP958-BP,695165,,COMPEA CHAR 4/STX WHITE,4,4,0,4.78,50,2.39,CD,9.56,U-044974958042,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
209,Shipped 05/15/2023,WN0390373,996771,,COTMAN WC POCKET PLUS SET,3,3,0,35.49,59.5,14.37,SE,43.11,U-094376954364,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
210,Shipped 05/15/2023,AWCT2103,100168,,MERMAID POTIONS KIT,1,1,0,20.99,50,10.5,EA,10.5,U-811069030996,3003330000,ALB1381,N3240731,00,14596857,00000824352016777363
212,Shipped 05/15/2023,GD1100-2,838470,,HB ACR CP CAD RED MED 2oz,2,2,0,27.29,52.5,12.96,TU,25.92,U-738797110021,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
213,Shipped 05/15/2023,GD1380-2,833738,,HB ACR TITANIUM WHITE 2oz,2,2,0,12.49,52.5,5.93,TU,11.86,U-738797138025,3003330000,ALB1381,N3240731,00,14596857,00000824352016777394
